"Story","Title","Result","Date","Stability","Duration (s)"
"Agregar dos productos al carrito de compras","abrir con el navegador la pagina web","ERROR","2024-07-25T20:56:24.0299114-05:00[America/Guayaquil]","0.0","38.33"
"Agregar dos productos al carrito de compras","Añadir los productos exitosamente","SUCCESS","2024-07-25T18:35:08.92517-05:00[America/Guayaquil]","0.0","1.33"
